ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u32, SumSQ.u32, Count.u64, Min.u32, Max.u32, Sum.f64, SumSQ.f64, Min.f64, Max.f64
Node_ctrl, activeCycleF, , Accumulator, 34684515000, 0, 34684515, 34684515, 34684515, 1, 1, 0, 0, 0, 0
Node_ctrl, activeCycleD, , Accumulator, 34684515000, 0, 29683815, 29683815, 29683815, 1, 1, 0, 0, 0, 0
Node_ctrl, activeCycleM, , Accumulator, 34684515000, 0, 8661007, 10221007, 7881007, 1, 2, 0, 0, 0, 0
Node_ctrl, activeCycleALU, , Accumulator, 34684515000, 0, 28123613, 28123613, 28123613, 1, 1, 0, 0, 0, 0
Node_ctrl, activeCycleFPU, , Accumulator, 34684515000, 0, 1560000, 1560000, 1560000, 1, 1, 0, 0, 0, 0
Router0, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router0, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router1, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router1, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router2, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router2, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router3, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router3, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router4, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router4, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router5, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router5, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router6, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router6, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router7, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router7, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router8, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router8, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router9, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router9, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router10, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router10, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router11, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router11, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router12, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router12, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router13, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router13, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router14, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router14, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router15, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router15, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router16, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router16, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router17, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router17, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router18, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router18, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router19, activeCycleFPU, , Accumulator, 34684515000, 0, 1040000, 1040000, 1040000, 1, 1, 0, 0, 0, 0
Router19, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
Router20, activeCycleFPU, , Accumulator, 34684515000, 0, 1560000, 1560000, 1560000, 1, 1, 0, 0, 0, 0
Router20, activeCycleMUX, , Accumulator, 34684515000, 0, 400, 400, 400, 1, 1, 0, 0, 0, 0
T00_ctrl, activeCycleF, , Accumulator, 34684515000, 0, 34684515, 34684515, 34684515, 1, 1, 0, 0, 0, 0
T00_ctrl, activeCycleD, , Accumulator, 34684515000, 0, 28071834, 28071834, 28071834, 1, 1, 0, 0, 0, 0
