ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.f64, SumSQ.f64, Count.u64, Min.f64, Max.f64, Sum.u32, SumSQ.u32, Min.u32, Max.u32
T44C11_acam, energyCAM, , Accumulator, 34684515000, 14, 183074747858.859619, 2425152901890.754395, 68423680000, 0.646400, 87.552000, 0, 0, 0, 0
T44C11_acam, energyDAC, , Accumulator, 34684515000, 14, 47983279.331875, 2213841437.864069, 1040000, 46.137769, 46.137769, 0, 0, 0, 0
T44C11_acam, energySA, , Accumulator, 34684515000, 14, 4792319999.999999, 86261759999.999985, 266240000, 18.000000, 18.000000, 0, 0, 0, 0
T44C11_acam, energyPC, , Accumulator, 34684515000, 14, 3924910099.147916, 57861024161.071457, 266240000, 14.742000, 14.742000, 0, 0, 0, 0
T44C11_acam, energyREG, , Accumulator, 34684515000, 14, 12454276424.162323, 104266996510059347968.000000, 267280001, 8.170000, 10211121216.000000, 0, 0, 0, 0
T44C11__mpe, activeCycle, , Accumulator, 34684515000, 14, 0, 0, 1580000, 0, 0, 1580000, 1580000, 1, 1
T44C12_ctrl, activeCycleF, , Accumulator, 34684515000, 14, 0, 0, 34684515, 0, 0, 34684515, 34684515, 1, 1
T44C12_ctrl, activeCycleD, , Accumulator, 34684515000, 14, 0, 0, 34141833, 0, 0, 34141833, 34141833, 1, 1
T44C12_ctrl, activeCycleM, , Accumulator, 34684515000, 14, 0, 0, 5823186, 0, 0, 5823186, 5823186, 1, 1
T44C12_ctrl, activeCycleALU, , Accumulator, 34684515000, 14, 0, 0, 23461833, 0, 0, 23461833, 23461833, 1, 1
T44C12_ctrl, activeCycleFPU, , Accumulator, 34684515000, 14, 0, 0, 2860000, 0, 0, 2860000, 2860000, 1, 1
T44C12_acam, energyCAM, , Accumulator, 34684515000, 14, 183425452666.445801, 2426739513068.572754, 68423680000, 0.646400, 87.552000, 0, 0, 0, 0
T44C12_acam, energyDAC, , Accumulator, 34684515000, 14, 47983279.331875, 2213841437.864069, 1040000, 46.137769, 46.137769, 0, 0, 0, 0
