ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.f64, SumSQ.f64, Count.u64, Min.f64, Max.f64, Sum.u32, SumSQ.u32, Min.u32, Max.u32
T44C11_acam, energyCAM, , Accumulator, 42647810000, 14, 200974546080.769196, 2882276650414.449707, 84213760000, 1.280000, 87.552000, 0, 0, 0, 0
T44C11_acam, energyDAC, , Accumulator, 42647810000, 14, 59056343.793226, 2724727923.536067, 1280000, 46.137769, 46.137769, 0, 0, 0, 0
T44C11_acam, energySA, , Accumulator, 42647810000, 14, 5898239999.999999, 106168319999.999985, 327680000, 18.000000, 18.000000, 0, 0, 0, 0
T44C11_acam, energyPC, , Accumulator, 42647810000, 14, 4830658568.148846, 71213568154.878204, 327680000, 14.742000, 14.742000, 0, 0, 0, 0
T44C11_acam, energyREG, , Accumulator, 42647810000, 14, 15316321676.881863, 157640963571877281792.000000, 328960001, 8.170000, 12555515263.999998, 0, 0, 0, 0
T44C11__mpe, activeCycle, , Accumulator, 42647810000, 14, 0, 0, 1940000, 0, 0, 1940000, 1940000, 1, 1
T44C12_ctrl, activeCycleF, , Accumulator, 42647810000, 14, 0, 0, 42647810, 0, 0, 42647810, 42647810, 1, 1
T44C12_ctrl, activeCycleD, , Accumulator, 42647810000, 14, 0, 0, 41977769, 0, 0, 41977769, 41977769, 1, 1
T44C12_ctrl, activeCycleM, , Accumulator, 42647810000, 14, 0, 0, 7150545, 0, 0, 7150545, 7150545, 1, 1
T44C12_ctrl, activeCycleALU, , Accumulator, 42647810000, 14, 0, 0, 28837768, 0, 0, 28837768, 28837768, 1, 1
T44C12_ctrl, activeCycleFPU, , Accumulator, 42647810000, 14, 0, 0, 3520000, 0, 0, 3520000, 3520000, 1, 1
T44C12_acam, energyCAM, , Accumulator, 42647810000, 14, 200974546080.769196, 2882276650414.449707, 84213760000, 1.280000, 87.552000, 0, 0, 0, 0
T44C12_acam, energyDAC, , Accumulator, 42647810000, 14, 59056343.793226, 2724727923.536067, 1280000, 46.137769, 46.137769, 0, 0, 0, 0
T44C12_acam, energySA, , Accumulator, 42647810000, 14, 5898239999.999999, 106168319999.999985, 327680000, 18.000000, 18.000000, 0, 0, 0, 0
T44C12_acam, energyPC, , Accumulator, 42647810000, 14, 4830658568.148846, 71213568154.878204, 327680000, 14.742000, 14.742000, 0, 0, 0, 0
