ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.f64, SumSQ.f64, Count.u64, Min.f64, Max.f64, Sum.u32, SumSQ.u32, Min.u32, Max.u32
T09C05_acam, energyCAM, , Accumulator, 104921410000, 3, 558748376167.108887, 7379228661502.135742, 207902720000, 0.646400, 87.552000, 0, 0, 0, 0
T09C05_acam, energyDAC, , Accumulator, 104921410000, 3, 145795348.731503, 6726672061.300043, 3160000, 46.137769, 46.137769, 0, 0, 0, 0
T09C05_acam, energySA, , Accumulator, 104921410000, 3, 14561279999.999998, 262103039999.999969, 808960000, 18.000000, 18.000000, 0, 0, 0, 0
T09C05_acam, energyPC, , Accumulator, 104921410000, 3, 11925688364.020117, 175808499092.378204, 808960000, 14.742000, 14.742000, 0, 0, 0, 0
T09C05_acam, energyREG, , Accumulator, 104921410000, 3, 37704603953.294334, 954121863925148942336.000000, 812120001, 8.170000, 30888863104.000000, 0, 0, 0, 0
T09C05__mpe, activeCycle, , Accumulator, 104921410000, 3, 0, 0, 4760000, 0, 0, 4760000, 4760000, 1, 1
T09C06_ctrl, activeCycleF, , Accumulator, 104921410000, 3, 0, 0, 104921410, 0, 0, 104921410, 104921410, 1, 1
T09C06_ctrl, activeCycleD, , Accumulator, 104921410000, 3, 0, 0, 103272249, 0, 0, 103272249, 103272249, 1, 1
T09C06_ctrl, activeCycleM, , Accumulator, 104921410000, 3, 0, 0, 17529665, 0, 0, 17529665, 17529665, 1, 1
T09C06_ctrl, activeCycleALU, , Accumulator, 104921410000, 3, 0, 0, 70862248, 0, 0, 70862248, 70862248, 1, 1
T09C06_ctrl, activeCycleFPU, , Accumulator, 104921410000, 3, 0, 0, 8690000, 0, 0, 8690000, 8690000, 1, 1
T09C06_acam, energyCAM, , Accumulator, 104921410000, 3, 557650276132.564331, 7379340981881.461914, 207902720000, 0.646400, 87.552000, 0, 0, 0, 0
T09C06_acam, energyDAC, , Accumulator, 104921410000, 3, 145795348.731503, 6726672061.300043, 3160000, 46.137769, 46.137769, 0, 0, 0, 0
T09C06_acam, energySA, , Accumulator, 104921410000, 3, 14561279999.999998, 262103039999.999969, 808960000, 18.000000, 18.000000, 0, 0, 0, 0
T09C06_acam, energyPC, , Accumulator, 104921410000, 3, 11925688364.020117, 175808499092.378204, 808960000, 14.742000, 14.742000, 0, 0, 0, 0
T09C06_acam, energyREG, , Accumulator, 104921410000, 3, 37704603953.294334, 954121863925148942336.000000, 812120001, 8.170000, 30888863104.000000, 0, 0, 0, 0
T09C06__mpe, activeCycle, , Accumulator, 104921410000, 3, 0, 0, 4760000, 0, 0, 4760000, 4760000, 1, 1
T09C07_ctrl, activeCycleF, , Accumulator, 104921410000, 3, 0, 0, 104921410, 0, 0, 104921410, 104921410, 1, 1
T09C07_ctrl, activeCycleD, , Accumulator, 104921410000, 3, 0, 0, 103272249, 0, 0, 103272249, 103272249, 1, 1
T09C07_ctrl, activeCycleM, , Accumulator, 104921410000, 3, 0, 0, 17529665, 0, 0, 17529665, 17529665, 1, 1
T09C07_ctrl, activeCycleALU, , Accumulator, 104921410000, 3, 0, 0, 70862248, 0, 0, 70862248, 70862248, 1, 1
T09C07_ctrl, activeCycleFPU, , Accumulator, 104921410000, 3, 0, 0, 8690000, 0, 0, 8690000, 8690000, 1, 1
T09C07_acam, energyCAM, , Accumulator, 104921410000, 3, 558577097013.173584, 7381840374659.626953, 207902720000, 0.646400, 87.552000, 0, 0, 0, 0
T09C07_acam, energyDAC, , Accumulator, 104921410000, 3, 145795348.731503, 6726672061.300043, 3160000, 46.137769, 46.137769, 0, 0, 0, 0
T09C07_acam, energySA, , Accumulator, 104921410000, 3, 14561279999.999998, 262103039999.999969, 808960000, 18.000000, 18.000000, 0, 0, 0, 0
T09C07_acam, energyPC, , Accumulator, 104921410000, 3, 11925688364.020117, 175808499092.378204, 808960000, 14.742000, 14.742000, 0, 0, 0, 0
T09C07_acam, energyREG, , Accumulator, 104921410000, 3, 37704603953.294334, 954121863925148942336.000000, 812120001, 8.170000, 30888863104.000000, 0, 0, 0, 0
T09C07__mpe, activeCycle, , Accumulator, 104921410000, 3, 0, 0, 4760000, 0, 0, 4760000, 4760000, 1, 1
T09C08_ctrl, activeCycleF, , Accumulator, 104921410000, 3, 0, 0, 104921410, 0, 0, 104921410, 104921410, 1, 1
T09C08_ctrl, activeCycleD, , Accumulator, 104921410000, 3, 0, 0, 103272249, 0, 0, 103272249, 103272249, 1, 1
T09C08_ctrl, activeCycleM, , Accumulator, 104921410000, 3, 0, 0, 17529665, 0, 0, 17529665, 17529665, 1, 1
T09C08_ctrl, activeCycleALU, , Accumulator, 104921410000, 3, 0, 0, 70862248, 0, 0, 70862248, 70862248, 1, 1
T09C08_ctrl, activeCycleFPU, , Accumulator, 104921410000, 3, 0, 0, 8690000, 0, 0, 8690000, 8690000, 1, 1
T09C08_acam, energyCAM, , Accumulator, 104921410000, 3, 559412854537.772705, 7384203189835.695312, 207902720000, 0.646400, 87.552000, 0, 0, 0, 0
T09C08_acam, energyDAC, , Accumulator, 104921410000, 3, 145795348.731503, 6726672061.300043, 3160000, 46.137769, 46.137769, 0, 0, 0, 0
