ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.f64, SumSQ.f64, Count.u64, Min.f64, Max.f64, Sum.u32, SumSQ.u32, Min.u32, Max.u32
T38C04_acam, energyCAM, , Accumulator, 25409410000, 12, 132677454384.632401, 1766325724543.972412, 50001920000, 0.646400, 87.552000, 0, 0, 0, 0
T38C04_acam, energyDAC, , Accumulator, 25409410000, 12, 35064704.126966, 1617807204.580073, 760000, 46.137769, 46.137769, 0, 0, 0, 0
T38C04_acam, energySA, , Accumulator, 25409410000, 12, 3502080000.000000, 63037439999.999992, 194560000, 18.000000, 18.000000, 0, 0, 0, 0
T38C04_acam, energyPC, , Accumulator, 25409410000, 12, 2868203531.765103, 42283056270.446457, 194560000, 14.742000, 14.742000, 0, 0, 0, 0
T38C04_acam, energyREG, , Accumulator, 25409410000, 12, 9119759106.712368, 55958333645295640576.000000, 195320001, 8.170000, 7480530303.999998, 0, 0, 0, 0
T38C04__mpe, activeCycle, , Accumulator, 25409410000, 12, 0, 0, 1160000, 0, 0, 1160000, 1160000, 1, 1
T38C05_ctrl, activeCycleF, , Accumulator, 25409410000, 12, 0, 0, 25409410, 0, 0, 25409410, 25409410, 1, 1
T38C05_ctrl, activeCycleD, , Accumulator, 25409410000, 12, 0, 0, 25012749, 0, 0, 25012749, 25012749, 1, 1
T38C05_ctrl, activeCycleM, , Accumulator, 25409410000, 12, 0, 0, 4277165, 0, 0, 4277165, 4277165, 1, 1
T38C05_ctrl, activeCycleALU, , Accumulator, 25409410000, 12, 0, 0, 17202748, 0, 0, 17202748, 17202748, 1, 1
T38C05_ctrl, activeCycleFPU, , Accumulator, 25409410000, 12, 0, 0, 2090000, 0, 0, 2090000, 2090000, 1, 1
T38C05_acam, energyCAM, , Accumulator, 25409410000, 12, 132293013757.102127, 1764966181626.029785, 50001920000, 0.646400, 87.552000, 0, 0, 0, 0
T38C05_acam, energyDAC, , Accumulator, 25409410000, 12, 35064704.126966, 1617807204.580073, 760000, 46.137769, 46.137769, 0, 0, 0, 0
T38C05_acam, energySA, , Accumulator, 25409410000, 12, 3502080000.000000, 63037439999.999992, 194560000, 18.000000, 18.000000, 0, 0, 0, 0
T38C05_acam, energyPC, , Accumulator, 25409410000, 12, 2868203531.765103, 42283056270.446457, 194560000, 14.742000, 14.742000, 0, 0, 0, 0
T38C05_acam, energyREG, , Accumulator, 25409410000, 12, 9119759106.712368, 55958333645295640576.000000, 195320001, 8.170000, 7480530303.999998, 0, 0, 0, 0
T38C05__mpe, activeCycle, , Accumulator, 25409410000, 12, 0, 0, 1160000, 0, 0, 1160000, 1160000, 1, 1
T38C06_ctrl, activeCycleF, , Accumulator, 25409410000, 12, 0, 0, 25409410, 0, 0, 25409410, 25409410, 1, 1
T38C06_ctrl, activeCycleD, , Accumulator, 25409410000, 12, 0, 0, 25012749, 0, 0, 25012749, 25012749, 1, 1
T38C06_ctrl, activeCycleM, , Accumulator, 25409410000, 12, 0, 0, 4277165, 0, 0, 4277165, 4277165, 1, 1
T38C06_ctrl, activeCycleALU, , Accumulator, 25409410000, 12, 0, 0, 17202748, 0, 0, 17202748, 17202748, 1, 1
T38C06_ctrl, activeCycleFPU, , Accumulator, 25409410000, 12, 0, 0, 2090000, 0, 0, 2090000, 2090000, 1, 1
T38C06_acam, energyCAM, , Accumulator, 25409410000, 12, 132763138684.213699, 1767315265689.324951, 50001920000, 0.646400, 87.552000, 0, 0, 0, 0
T38C06_acam, energyDAC, , Accumulator, 25409410000, 12, 35064704.126966, 1617807204.580073, 760000, 46.137769, 46.137769, 0, 0, 0, 0
T38C06_acam, energySA, , Accumulator, 25409410000, 12, 3502080000.000000, 63037439999.999992, 194560000, 18.000000, 18.000000, 0, 0, 0, 0
T38C06_acam, energyPC, , Accumulator, 25409410000, 12, 2868203531.765103, 42283056270.446457, 194560000, 14.742000, 14.742000, 0, 0, 0, 0
T38C06_acam, energyREG, , Accumulator, 25409410000, 12, 9119759106.712368, 55958333645295640576.000000, 195320001, 8.170000, 7480530303.999998, 0, 0, 0, 0
T38C06__mpe, activeCycle, , Accumulator, 25409410000, 12, 0, 0, 1160000, 0, 0, 1160000, 1160000, 1, 1
T38C07_ctrl, activeCycleF, , Accumulator, 25409410000, 12, 0, 0, 25409410, 0, 0, 25409410, 25409410, 1, 1
T38C07_ctrl, activeCycleD, , Accumulator, 25409410000, 12, 0, 0, 25012749, 0, 0, 25012749, 25012749, 1, 1
T38C07_ctrl, activeCycleM, , Accumulator, 25409410000, 12, 0, 0, 4277165, 0, 0, 4277165, 4277165, 1, 1
T38C07_ctrl, activeCycleALU, , Accumulator, 25409410000, 12, 0, 0, 17202748, 0, 0, 17202748, 17202748, 1, 1
T38C07_ctrl, activeCycleFPU, , Accumulator, 25409410000, 12, 0, 0, 2090000, 0, 0, 2090000, 2090000, 1, 1
T38C07_acam, energyCAM, , Accumulator, 25409410000, 12, 132208876430.749252, 1765041204405.697510, 50001920000, 0.646400, 87.552000, 0, 0, 0, 0
T38C07_acam, energyDAC, , Accumulator, 25409410000, 12, 35064704.126966, 1617807204.580073, 760000, 46.137769, 46.137769, 0, 0, 0, 0
T38C07_acam, energySA, , Accumulator, 25409410000, 12, 3502080000.000000, 63037439999.999992, 194560000, 18.000000, 18.000000, 0, 0, 0, 0
